"Name","Live Bytes","Live Objects"
"sun.reflect.generics.tree.TypeArgument[]","12.856 B (0,1 %)","699 (0,2 %)"
"java.lang.Module","12.824 B (0,1 %)","229 (0,1 %)"
"java.util.Collections$UnmodifiableCollection$1","12.480 B (0,1 %)","520 (0,2 %)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","12.440 B (0,1 %)","311 (0,1 %)"
"org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper","12.440 B (0,1 %)","311 (0,1 %)"
"java.lang.Package","12.096 B (0,1 %)","378 (0,1 %)"
"java.io.SerialCallbackContext","11.952 B (0,1 %)","498 (0,2 %)"
"java.lang.Integer","11.824 B (0,1 %)","739 (0,2 %)"
"java.lang.ref.ReferenceQueue$Lock","11.808 B (0,1 %)","738 (0,2 %)"
"java.lang.Class$AnnotationData","11.640 B (0,1 %)","485 (0,2 %)"
"java.lang.invoke.LambdaForm$Name[]","11.608 B (0,1 %)","233 (0,1 %)"
"org.springframework.core.annotation.AnnotationTypeMapping","11.232 B (0,1 %)","156 (0 %)"
"boolean[]","11.208 B (0,1 %)","110 (0 %)"
"jdk.internal.reflect.DelegatingClassLoader","11.040 B (0,1 %)","138 (0 %)"
"sun.reflect.generics.tree.ClassTypeSignature","11.008 B (0,1 %)","688 (0,2 %)"
"java.lang.invoke.LambdaForm","10.944 B (0,1 %)","228 (0,1 %)"
"java.net.URL","10.944 B (0,1 %)","171 (0,1 %)"
"jdk.internal.math.FDBigInteger","10.912 B (0,1 %)","341 (0,1 %)"
"org.springframework.core.ResolvableType[]","10.696 B (0,1 %)","480 (0,2 %)"
"java.util.WeakHashMap$Entry[]","10.416 B (0,1 %)","117 (0 %)"
"java.util.concurrent.atomic.AtomicInteger","10.128 B (0,1 %)","633 (0,2 %)"
"javax.management.openmbean.CompositeData[]","9.984 B (0,1 %)","510 (0,2 %)"
"long[]","9.976 B (0,1 %)","109 (0 %)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","9.952 B (0,1 %)","311 (0,1 %)"
"java.lang.reflect.Type[]","9.832 B (0,1 %)","413 (0,1 %)"
"javax.management.openmbean.CompositeDataSupport","9.792 B (0,1 %)","408 (0,1 %)"
"org.apache.tomcat.util.buf.ByteChunk","9.792 B (0,1 %)","204 (0,1 %)"
"org.thymeleaf.processor.element.MatchingAttributeName","9.664 B (0,1 %)","302 (0,1 %)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","9.664 B (0,1 %)","604 (0,2 %)"
"java.util.LinkedHashMap$LinkedValues","9.632 B (0,1 %)","602 (0,2 %)"
"java.lang.module.ModuleDescriptor$Exports","9.504 B (0,1 %)","396 (0,1 %)"
"java.nio.HeapCharBuffer","9.464 B (0,1 %)","169 (0,1 %)"
"java.lang.invoke.LambdaForm$NamedFunction","9.408 B (0,1 %)","294 (0,1 %)"
"java.io.ObjectStreamField","9.320 B (0,1 %)","233 (0,1 %)"
"org.apache.tomcat.util.buf.CharChunk","9.216 B (0,1 %)","192 (0,1 %)"
"java.util.logging.LogManager$LoggerWeakRef","9.216 B (0,1 %)","192 (0,1 %)"
"java.util.Collections$UnmodifiableSet","9.216 B (0,1 %)","576 (0,2 %)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","9.168 B (0,1 %)","191 (0,1 %)"
"java.security.CodeSource","9.160 B (0,1 %)","229 (0,1 %)"
"org.apache.tomcat.util.buf.MessageBytes","9.120 B (0,1 %)","190 (0,1 %)"
"java.lang.invoke.BoundMethodHandle$Species_L","8.704 B (0 %)","272 (0,1 %)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","8.696 B (0 %)","218 (0,1 %)"
"java.util.jar.Attributes$Name","8.664 B (0 %)","361 (0,1 %)"
"java.security.ProtectionDomain","8.440 B (0 %)","211 (0,1 %)"
"sun.security.util.KnownOIDs","7.904 B (0 %)","247 (0,1 %)"
"java.lang.StackTraceElement[]","7.728 B (0 %)","339 (0,1 %)"
"java.lang.StringBuilder","7.464 B (0 %)","311 (0,1 %)"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","7.272 B (0 %)","303 (0,1 %)"
"java.util.jar.JarFile$JarFileEntry","7.200 B (0 %)","75 (0 %)"
"java.lang.invoke.MethodTypeForm","7.136 B (0 %)","223 (0,1 %)"
"java.util.Collections$UnmodifiableMap","7.040 B (0 %)","220 (0,1 %)"
"org.thymeleaf.engine.HTMLAttributeDefinition","6.944 B (0 %)","217 (0,1 %)"
"java.lang.StackTraceElement","6.912 B (0 %)","144 (0 %)"
"java.util.TreeMap$EntrySet","6.832 B (0 %)","427 (0,1 %)"
"java.util.zip.Inflater","6.656 B (0 %)","104 (0 %)"
"java.lang.Thread","6.624 B (0 %)","18 (0 %)"
"java.util.TreeMap$KeySet","6.592 B (0 %)","412 (0,1 %)"
"javax.management.ObjectName$Property[]","6.544 B (0 %)","217 (0,1 %)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","6.528 B (0 %)","204 (0,1 %)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","6.480 B (0 %)","270 (0,1 %)"
"org.springframework.core.MethodParameter","6.464 B (0 %)","101 (0 %)"
"java.util.ImmutableCollections$Set12","6.384 B (0 %)","266 (0,1 %)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","6.304 B (0 %)","394 (0,1 %)"
"javax.management.ImmutableDescriptor","6.216 B (0 %)","259 (0,1 %)"
"java.util.ArrayList$Itr","6.144 B (0 %)","192 (0,1 %)"
"java.util.WeakHashMap$Entry","5.840 B (0 %)","146 (0 %)"
"java.net.URI","5.760 B (0 %)","72 (0 %)"
"java.lang.module.ModuleDescriptor$Requires","5.696 B (0 %)","178 (0,1 %)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","5.592 B (0 %)","233 (0,1 %)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","5.592 B (0 %)","233 (0,1 %)"
"org.springframework.beans.BeanMetadataAttribute","5.568 B (0 %)","232 (0,1 %)"
"java.util.logging.LogManager$LogNode","5.472 B (0 %)","171 (0,1 %)"
"java.util.ImmutableCollections$List12","5.424 B (0 %)","226 (0,1 %)"
"org.thymeleaf.processor.element.IElementProcessor[]","5.424 B (0 %)","336 (0,1 %)"
"java.util.WeakHashMap","5.376 B (0 %)","112 (0 %)"
"jdk.internal.loader.NativeLibraries","5.280 B (0 %)","165 (0,1 %)"
"java.util.zip.ZipFile$Source","5.200 B (0 %)","65 (0 %)"
"com.fasterxml.jackson.databind.type.ClassKey","5.160 B (0 %)","215 (0,1 %)"
"com.sun.jmx.mbeanserver.ConvertingMethod","5.088 B (0 %)","159 (0,1 %)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","5.040 B (0 %)","45 (0 %)"
"com.example.shortify.models.ShortURL","4.824 B (0 %)","201 (0,1 %)"
"java.util.logging.Logger","4.816 B (0 %)","86 (0 %)"
"org.thymeleaf.engine.HTMLElementName","4.760 B (0 %)","119 (0 %)"
"jdk.internal.reflect.NativeMethodAccessorImpl","4.704 B (0 %)","196 (0,1 %)"
"sun.reflect.generics.factory.CoreReflectionFactory","4.680 B (0 %)","195 (0,1 %)"
"org.thymeleaf.standard.processor.StandardRemovableAttributeTagProcessor","4.656 B (0 %)","97 (0 %)"
"java.lang.invoke.DirectMethodHandle$Special","4.560 B (0 %)","114 (0 %)"
"java.math.BigInteger","4.560 B (0 %)","114 (0 %)"
"sun.reflect.generics.repository.ClassRepository","4.544 B (0 %)","142 (0 %)"
"java.lang.module.ModuleDescriptor","4.544 B (0 %)","71 (0 %)"
"org.apache.tomcat.util.threads.TaskThread","4.512 B (0 %)","12 (0 %)"
"java.util.concurrent.CopyOnWriteArraySet","4.464 B (0 %)","279 (0,1 %)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[]","4.464 B (0 %)","174 (0,1 %)"
"org.springframework.beans.factory.support.MethodOverrides","4.432 B (0 %)","277 (0,1 %)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","4.416 B (0 %)","184 (0,1 %)"
"javax.management.ObjectName$Property","4.392 B (0 %)","183 (0,1 %)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","4.384 B (0 %)","137 (0 %)"
"java.io.DataOutputStream","4.360 B (0 %)","109 (0 %)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","4.336 B (0 %)","271 (0,1 %)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","4.240 B (0 %)","265 (0,1 %)"
"org.springframework.boot.web.server.MimeMappings$Mapping","4.224 B (0 %)","176 (0,1 %)"
"sun.nio.fs.WindowsFileAttributes","4.160 B (0 %)","65 (0 %)"
"java.lang.Byte","4.096 B (0 %)","256 (0,1 %)"
"java.lang.Short","4.096 B (0 %)","256 (0,1 %)"
"java.io.ObjectStreamClass$FieldReflectorKey","4.080 B (0 %)","102 (0 %)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","4.080 B (0 %)","170 (0,1 %)"
"org.springframework.core.annotation.AnnotationTypeMapping[]","4.040 B (0 %)","156 (0 %)"
"java.util.ImmutableCollections$SetN","4.008 B (0 %)","167 (0,1 %)"
"jdk.internal.module.ModuleReferenceImpl","3.920 B (0 %)","70 (0 %)"
"com.sun.proxy.$Proxy32","3.888 B (0 %)","243 (0,1 %)"
"org.thymeleaf.engine.HTMLElementDefinition","3.776 B (0 %)","118 (0 %)"
"java.lang.invoke.MethodHandle[]","3.760 B (0 %)","48 (0 %)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets","3.744 B (0 %)","156 (0 %)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage","3.728 B (0 %)","233 (0,1 %)"
"java.lang.reflect.Parameter","3.720 B (0 %)","93 (0 %)"
"java.io.FileCleanable","3.640 B (0 %)","65 (0 %)"
"java.util.jar.JarFile","3.640 B (0 %)","65 (0 %)"
"java.util.Collections$UnmodifiableRandomAccessList","3.576 B (0 %)","149 (0 %)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","3.552 B (0 %)","111 (0 %)"
"java.io.FileDescriptor","3.520 B (0 %)","88 (0 %)"
"org.apache.tomcat.util.http.ValuesEnumerator","3.520 B (0 %)","110 (0 %)"
"org.springframework.core.annotation.AnnotationTypeMappings[]","3.520 B (0 %)","129 (0 %)"
"sun.reflect.generics.scope.ClassScope","3.504 B (0 %)","146 (0 %)"
"org.springframework.core.annotation.MergedAnnotation[]","3.496 B (0 %)","128 (0 %)"
"sun.reflect.generics.tree.FormalTypeParameter[]","3.496 B (0 %)","196 (0,1 %)"
"java.util.logging.Logger$ConfigurationData","3.480 B (0 %)","87 (0 %)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","3.456 B (0 %)","108 (0 %)"
"sun.reflect.generics.tree.ClassSignature","3.408 B (0 %)","142 (0 %)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3.392 B (0 %)","170 (0,1 %)"
"java.security.Principal[]","3.376 B (0 %)","211 (0,1 %)"
"java.security.ProtectionDomain$Key","3.376 B (0 %)","211 (0,1 %)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes","3.344 B (0 %)","209 (0,1 %)"
"sun.reflect.generics.tree.ClassTypeSignature[]","3.304 B (0 %)","142 (0 %)"
"org.springframework.beans.MutablePropertyValues","3.288 B (0 %)","137 (0 %)"
"org.thymeleaf.standard.processor.StandardDOMEventAttributeTagProcessor","3.264 B (0 %)","68 (0 %)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3.160 B (0 %)","79 (0 %)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3.136 B (0 %)","49 (0 %)"
"jdk.internal.loader.URLClassPath$JarLoader","3.120 B (0 %)","65 (0 %)"
"org.springframework.core.annotation.MergedAnnotationsCollection","3.072 B (0 %)","128 (0 %)"
"java.lang.invoke.LambdaFormEditor$Transform","3.072 B (0 %)","64 (0 %)"
"javax.management.ObjectName","3.008 B (0 %)","94 (0 %)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","2.976 B (0 %)","48 (0 %)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","2.960 B (0 %)","37 (0 %)"
"java.io.ObjectOutputStream$HandleTable","2.960 B (0 %)","74 (0 %)"
